Event ,Option 1,Option 2,Option 3,Outcome 1,Points Awarded,Outcome 2,Points Awarded,Outcome 3 ,Points Awarded
Protective mechanisms were defective or installed with incorrect setting and failed to operate during fault conditions.,Isolate faulted area as quickly as possible to avoid further damage,Take no action and leave load out of service ,Spend 20 points to fund a program that employs engineers to systematically test critical protection relay setting throughout the power system ,Congratulations you successfully isolated the fault in 5 ms and saved critical power system equipment +30 points! ,30,Failure to take action results in sever damage to critical substation equipment - 40 points ,-40,Congratulations! You have funded a critical program to reduce the number of protection misoperations and successfully isolated the fault in 5 ms saving critical power system equipment +30 points!,10
Protective mechanisms have operated but no fault conditions are present,Have the settings and relays inspected and replaced if defective,Spend 20 points to fund a program that employs engineers to systematically test critical protection  settings throughout the power system ,Take no action and let consumers deal with unreliable power delivery,Nice job! You have fixed the nuisance tripping and restored reliable power to customers +30 points! ,30,Oh no! You have left consumers with unreliable power delivery and have cost industrial customers profits -40 points,-40,Nice job! You have fixed the nuisance tripping and restored reliable power to customers +30 points! Your investment of 20 points should reduce the frequency of protection failures,10
Some generators were forced out unexpectedly during peak power time ,Use low ramping reserve ancillary services secured in the day ahead energy market to supply the power demand. ,Use any available natural gas peaker power plants to supply the needed generation,Use any available coal fired peaker plants to supply needed generation,You have secured low ramping contingency reserve and ancillary services and are prepared for unexpected shortages +100 Points!,100,You did not secure any low ramping contingency reserve ancillary services. You were able to meet demand but at a much higher cost. +40 points,40,"You did not secure any low ramping contingency reserve ancillary services. You met the demand but coal peaker plants are expensive, inefficiently and release harmful emissions. +10",10
The power grid is experiencing high fluctuations in demand that differ from the expected demand forecast. ,Deploy high ramping frequency reserve ancillary services capable of matching the load fluctuations,Try and use any available coal power plant to match the load fluctuations.   ,Do not attempt to match the load fluctuations and let power delivery be over or under   ,You have secured high ramping natural gas combustion plants capable of minute to minute frequency support and load following  +100 Points!,100,Oh no! You did not secure any high ramping ancillary services. Coal power plants are not high ramping and are not capable of supplying frequency support to the grid -50 points ,-50,You did not secure any high ramping ancillary services. At times demand was higher than generation and other times generation higher than demand. Power systems allowed to operate this way are inefficient and costly -60 points.,-60
Summer heat wave hits Washington Oregon and California. Millions of people turn on their AC units to cool their homes even when they are not home.,Use the low ramping contingency ancillary service as well as the high ramping flexibility reserves to supply high base load and peak power support during heat wave.,Attempt to use available coal power plants to supply power during heat wave.,Do not increase generation and allow rolling black outs to occur during peak power times,Nice Job! You have secured low ramping and high ramping ancillary services and are prepared to supply power during the heat wave. However this option was expensive and placed a strain on the power grid +40 points.,40,"Oh no! You did not secure any high ramping or low ramping ancillary services. The old coal power plants are inefficient, produce harmful emissions and lack the capacity to provide the needed power during the heat wave. Some blackouts are unavoidable  -50 points.",-50,Failure to supply power during the heat wave caused system destabilization and rolling blackouts during the heat wave. A number of deaths resulted from heat related illnesses -150 points,-150
The economy is booming and a high number of industrial sized motors are installed throughout the grid. The high inrush current required to start the motors is causing under voltages and brownouts at various points on the grid.,Deploy the high ramping ancillary services that were secured in the day ahead market to bring the voltage level up during motor start up times. ,Let the voltage sag and risk damage to critical equipment from the resulting high currents. ,Do not supply power to the industrial loads because they are too high and causing under voltages and brownouts.,Good Work! You secured high ramping ancillary services that were successful in raising the grid voltage at points experiencing under voltages due to the motors drawing large current +75 points!,75,Oh no! Excessive inrush current from the large industrial motors caused voltage sag that eventually created high damaging currents in near by transformers -50 points,-50,Not supplying power is a bad economical choice as the generators are willing to sell there power and the industrial plants are willing to buy -20 points,-20
A group of terrorist have systematically attacked multiple substations!,Isolate the damaged areas and reroute power to customers as quickly as possible,Take no action and leave some customers without power,Isolate damaged areas and reroute the power as quickly as possible as well as spend 20 points to fund power system vulnerability and defense studies to reduce the risk of future attacks. ,The damaged areas were isolated as quickly as possible and power rerouted to customers. Unfortunately the damage was widespread and many customers were left without power - 30 points.,-30,Taking no action resulted in more power outages and damage to other equipment than necessary -70 Points.,-70,The damaged areas were isolated as quickly as possible. Unfortunately the damage was widespread but thanks to your investment in research and development substation security will increase in the future + 10 points!,-10
Cyber terrorists attack power system controls for multiple substations!,Isolate the uncontrolled areas and reroute power to consumers as quickly and as efficiently as possible.,Take no action and hope that the power systems eventually will be restored,Isolate the uncontrolled areas and reroute power to consumers as quickly as possible. Spend 20 points to fund research programs into cyber security to avoid these kinds of attacks in the future.,The uncontrolled areas are isolated as quickly as possible but the attack was severe and many customers were left without power -30 points,-30,Many critical pieces of substation equipment were destroyed at multiple locations because of inaction. This caused large blackouts for consumers and repairs were extremely expensive. -65 points,-65,The attack was severe and many customers were left without power. Funding cyber security research should reduce the frequency and minimize the severity of future attacks -30 points. ,-50
A tree branch falls onto transmission lines in critical operation zone causing high transient overvoltage's and large fault currents.,Send crews out in the field to find and remove the tree branch on the line as quickly as possible.,Take no action and hope that the tree branch will burn itself out and clear the fault on its own,Send crews out in the field to find and remove the tree branch. Spend 20 points to fund research into modeling and simulating the power system to reduce the number of vulnerable zones. ,Oh no! It takes the crew a considerable amount of time to find the tree branch and clear the fault. Damage occurred to critical substation components and customers were out of power for hours.-30 points,-30,Taking no action resulted in massive blackouts and severe damage to a substantial number of substations - 75 points,-75,It takes a considerable amount of time to clear the fault. However modeling and simulation of the power grid to identify weak areas  should minimize the frequency and severity of future faults caused by tree branches. +10,-10
Extreme winds destroy critical transmission lines delivering power to residential and industrial customers,Send out crews to fix the downed power line as quickly as possible and reroute power using other transmission lines to customers.,Leave the downed transmission lines and let customer go without power,Send out crews to fix the downed power line and reroute power to consumers as quickly as possible. Spend 20 points to fund feasibility study to provide new transmission infrastructure to critical spots. ,The crew is able to quickly repair the downed power line and power is restored to customers in a timely fashion +25! ,25,Failing to repair the downed transmission line caused unnecessary damage to critical substation components and extended blackouts - 50 points,-50,The crew was able fix the downed power line in a timely manner and new transmission lines will keep this problem from happening in the future +50 points,30
